source_id,source_name,source_type,url_or_doi,date_accessed,license_access_notes,preferred_citation
SM25,Stanford Medicine 25 Exam Guides,technique,https://med.stanford.edu/stanfordmedicine25/exam-guides-.html,2026-06-06,"Free web educational material; cite and paraphrase technique, do not reproduce long passages.",Stanford Medicine 25. Exam Guides. Stanford Medicine.
JAMA_RCE,The Rational Clinical Examination: Evidence-Based Clinical Diagnosis,diagnostic_performance,https://jamaevidence.mhmedical.com/book.aspx?bookid=845,2026-06-06,McGraw Hill/JAMAevidence access may require subscription; use concise citations and available LR values only.,"Simel DL, Rennie D, eds. The Rational Clinical Examination: Evidence-Based Clinical Diagnosis. JAMAevidence."
MCGEE_EBPD,Evidence-Based Physical Diagnosis,evidence_synthesis,https://www.sciencedirect.com/book/9780323392761/evidence-based-physical-diagnosis,2026-06-06,Commercial textbook; cite source and paraphrase.,McGee S. Evidence-Based Physical Diagnosis.
ACP_GUIDELINES,American College of Physicians Clinical Guidelines and Recommendations,management_guideline,https://www.acponline.org/clinical-information,2026-06-06,ACP guideline portal; use condition-specific guideline citations when applied.,"American College of Physicians. Clinical Guidelines, Recommendations and Updates."
AHRQ_CALIBRATE_DX,Calibrate Dx: A Resource To Improve Diagnostic Decisions,diagnostic_safety,https://www.ahrq.gov/diagnostic-safety/tools/calibrate-dx.html,2026-06-06,AHRQ public resource; cite implementation discipline and diagnostic calibration workflow.,Agency for Healthcare Research and Quality. Calibrate Dx: A Resource To Improve Diagnostic Decisions.
SSC_SEPSIS_2026,Surviving Sepsis Campaign Adult Guidelines 2026,management_guideline,https://www.sccm.org/survivingsepsiscampaign/guidelines-and-resources/surviving-sepsis-campaign-adult-guidelines,2026-06-07,SCCM/ESICM public guideline page; cite and paraphrase screening diagnostics blood cultures lactate source control perfusion resuscitation and respiratory-support recommendations.,Surviving Sepsis Campaign. International Guidelines for Management of Sepsis and Septic Shock 2026.
ATS_CAP_2025,Diagnosis and Management of Community-Acquired Pneumonia in Adults,management_guideline,https://academic.oup.com/ajrccm/article/212/1/24/8435770,2026-06-08,Official ATS guideline article; approved May 2025 and published in AJRCCM 2026 issue. Cite and paraphrase selected adult CAP diagnostic and management update recommendations.,Jones BE et al. Diagnosis and Management of Community-Acquired Pneumonia. An Official American Thoracic Society Clinical Practice Guideline. Am J Respir Crit Care Med. 2026;212(1):24-44.
IDSA_CAP_PATHWAY_2019,IDSA Community-Acquired Pneumonia Clinical Pathway,management_guideline,https://www.idsociety.org/globalassets/idsa/practice-guidelines/community-acquired-pneumonia-in-adults/cap-clinical-pathway-final-online.pdf,2026-06-07,IDSA public clinical pathway PDF; cite and paraphrase diagnostic criteria including respiratory symptoms abnormal lung sounds fever and hypoxia.,Infectious Diseases Society of America. Community-Acquired Pneumonia Clinical Pathway.
MERCK_FEVER_ADULTS,Merck Manual Professional Fever In Adults,clinical_reference,https://www.merckmanuals.com/professional/infectious-diseases/biology-of-infectious-disease/fever,2026-06-07,Public clinical reference; cite and paraphrase fever history physical examination localizing symptoms exposure and host-risk screening skin inspection neurologic exam and source-directed testing.,Merck Manual Professional Edition. Fever. Updated professional clinical reference.
AHA_ACC_HFSA_HF_2022,2022 AHA/ACC/HFSA Guideline for the Management of Heart Failure,management_guideline,https://www.jacc.org/doi/10.1016/j.jacc.2021.12.012,2026-06-07,Official guideline article; cite and paraphrase diagnostic recommendations for natriuretic peptides chest radiography and initial HF evaluation.,"Heidenreich PA, Bozkurt B, Aguilar D, et al. 2022 AHA/ACC/HFSA Guideline for the Management of Heart Failure."
ESC_HF_2021,2021 ESC Guidelines for the Diagnosis and Treatment of Acute and Chronic Heart Failure,management_guideline,https://academic.oup.com/eurheartj/article/42/36/3599/6358045,2026-06-07,Official guideline article; cite and paraphrase diagnostic testing approach and natriuretic peptide thresholds.,McDonagh TA et al. 2021 ESC Guidelines for the diagnosis and treatment of acute and chronic heart failure.
ESC_PE_2019,2019 ESC/ERS Guidelines for Acute Pulmonary Embolism,management_guideline,https://www.escardio.org/guidelines/clinical-practice-guidelines/all-esc-practice-guidelines/acute-pulmonary-embolism/,2026-06-07,ESC public guideline page; cite and paraphrase clinical probability D-dimer imaging and risk-stratification recommendations.,"Konstantinides SV, Meyer G, Becattini C, et al. 2019 ESC Guidelines for the diagnosis and management of acute pulmonary embolism."
ACEP_VTE_POLICY,ACEP Clinical Policy for Suspected Acute Venous Thromboembolic Disease,management_guideline,https://www.acep.org/siteassets/new-pdfs/clinical-policies/clinical.policy.suspected.acute.venous.thromboembolic.disease.pdf,2026-06-07,ACEP public clinical policy PDF; cite and paraphrase ED clinical decision rule and age-adjusted D-dimer recommendations.,American College of Emergency Physicians. Clinical Policy: Suspected Acute Venous Thromboembolic Disease.
