exam_id,base_row_number,base_row_fingerprint,source_item,condition_or_syndrome,diagnostic_target,bedside_question_label,bedside_question_options,when_to_use_structured,result_changes_management,management_link,evidence_source_primary,source_citation,LR_plus,LR_minus,evidence_tier,difficulty,time_burden_minutes,equipment_needed,patient_cooperation_required,care_setting,limitations,retrieval_tags
EXAM-001-visual-acuity,1,47d6d331,Neuro 1,pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; inpatient_bedside; neuro; pituitary_sellar; stroke; vision_change,"Abnormal visual or ocular motor findings can change sellar-lesion urgency, neuroimaging review, ophthalmology/neurosurgery escalation, or steroid urgency.","Abnormal visual or ocular motor findings can change sellar-lesion urgency, neuroimaging review, ophthalmology/neurosurgery escalation, or steroid urgency.",ES_PITUITARY_INCIDENTALOMA,ES_PITUITARY_INCIDENTALOMA; SM25; AHRQ_CALIBRATE_DX,,,A,easy,1,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; inpatient_bedside; neuro; pituitary_sellar; stroke; vision_change
EXAM-002-visual-fields,2,6c3257fc,Neuro 2,pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; inpatient_bedside; neuro; pituitary_sellar; stroke; vision_change,"Abnormal visual or ocular motor findings can change sellar-lesion urgency, neuroimaging review, ophthalmology/neurosurgery escalation, or steroid urgency.","Abnormal visual or ocular motor findings can change sellar-lesion urgency, neuroimaging review, ophthalmology/neurosurgery escalation, or steroid urgency.",ES_PITUITARY_INCIDENTALOMA,ES_PITUITARY_INCIDENTALOMA; SM25; AHRQ_CALIBRATE_DX,,,A,easy,1,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; inpatient_bedside; neuro; pituitary_sellar; stroke; vision_change
EXAM-003-extraocular-movements,3,a8f0df83,Neuro 3,pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; inpatient_bedside; neuro; pituitary_sellar; stroke; vision_change,"Abnormal visual or ocular motor findings can change sellar-lesion urgency, neuroimaging review, ophthalmology/neurosurgery escalation, or steroid urgency.","Abnormal visual or ocular motor findings can change sellar-lesion urgency, neuroimaging review, ophthalmology/neurosurgery escalation, or steroid urgency.",ES_PITUITARY_INCIDENTALOMA,ES_PITUITARY_INCIDENTALOMA; SM25; AHRQ_CALIBRATE_DX,,,A,easy,1,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; inpatient_bedside; neuro; pituitary_sellar; stroke; vision_change
EXAM-004-convergence,4,7e0ae24a,Neuro 4,pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; inpatient_bedside; neuro; pituitary_sellar; stroke; vision_change,"A management-relevant Convergence finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.","A management-relevant Convergence finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.",AHRQ_CALIBRATE_DX,AHRQ_CALIBRATE_DX; SM25,,,C,easy,1,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; inpatient_bedside; neuro; pituitary_sellar; stroke; vision_change
EXAM-005-pupils,5,a53809b4,Neuro 5,pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; inpatient_bedside; neuro; pituitary_sellar; stroke; vision_change,"Abnormal visual or ocular motor findings can change sellar-lesion urgency, neuroimaging review, ophthalmology/neurosurgery escalation, or steroid urgency.","Abnormal visual or ocular motor findings can change sellar-lesion urgency, neuroimaging review, ophthalmology/neurosurgery escalation, or steroid urgency.",ES_PITUITARY_INCIDENTALOMA,ES_PITUITARY_INCIDENTALOMA; SM25; AHRQ_CALIBRATE_DX,,,A,easy,1,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; inpatient_bedside; neuro; pituitary_sellar; stroke; vision_change
EXAM-009-eye-closure-strength,9,546ccdf3,Neuro 9,hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,moderate,2,none,moderate,inpatient bedside; consult rounds; ward or stepdown,"Technique and patient cooperation can limit reliability; interpret with vitals, labs, imaging, and trajectory.",diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness
EXAM-010-facial-symmetry,10,465c6648,Neuro 10,hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness,"A management-relevant Facial symmetry finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.","A management-relevant Facial symmetry finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.",AHRQ_CALIBRATE_DX,AHRQ_CALIBRATE_DX; SM25,,,C,easy,1,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness
EXAM-014-palate-elevation,14,320a2d13,Neuro 14,diagnostic_safety; inpatient_bedside; neuro,CN IX sensory/gag afferent and CN X palate/pharynx motor,"Has this problem changed since yesterday, and is there any new symptom you want the team to know?",Better / Same / Worse / New symptom ___ / Other ___,diagnostic_safety; inpatient_bedside; neuro,"A management-relevant Palate elevation finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.","A management-relevant Palate elevation finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.",AHRQ_CALIBRATE_DX,AHRQ_CALIBRATE_DX; SM25,,,C,easy,1,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; inpatient_bedside; neuro
EXAM-017-tongue-protrusion,17,83de02ba,Neuro 17,diagnostic_safety; inpatient_bedside; neuro,Screens hypoglossal nerve motor function,"Has this problem changed since yesterday, and is there any new symptom you want the team to know?",Better / Same / Worse / New symptom ___ / Other ___,diagnostic_safety; inpatient_bedside; neuro,"A management-relevant Tongue protrusion finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.","A management-relevant Tongue protrusion finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.",AHRQ_CALIBRATE_DX,AHRQ_CALIBRATE_DX; SM25,,,C,easy,1,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; inpatient_bedside; neuro
EXAM-018-pronator-drift,18,3e2c02c7,Neuro 18,hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,easy,1,none,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness
