case_id,gap_exam_id,gap_label,gap_type,review_status,review_owner,last_reviewed,source_ids,source_citation,rationale,activation_condition,planned_resolution
pulm_snoring_sleep_apnea,GAP-sleep-apnea-neck-circumference,Neck circumference,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AASM_OSA_DIAGNOSTIC_2017;MCGEE_EBPD;AHRQ_CALIBRATE_DX,AASM adult OSA diagnostic testing guideline plus McGee evidence synthesis and AHRQ diagnostic safety workflow,Neck circumference is a common bedside OSA risk phenotype item but is not yet represented as an atomic base catalog maneuver,Snoring sleepiness OSA or witnessed apnea context,Promote to base exam catalog after source-specific technique and threshold review
gi_pruritus_ani,GAP-derm-skin-inspection,Skin inspection,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,AHRQ diagnostic safety workflow and McGee evidence synthesis,General skin inspection is needed to characterize rash excoriation infection jaundice or systemic clues when pruritus is the presentation,Pruritus ani or generalized pruritus with skin symptom context,Promote dermatology morphology exam rows into base catalog
gi_pruritus_ani,GAP-derm-perianal-inspection,Perianal skin inspection,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,AHRQ diagnostic safety workflow and McGee evidence synthesis,Perianal inspection is required for pruritus ani but is not yet in the base maneuver catalog,Pruritus ani rectal itching bleeding rash ulcer or infection context,Add perianal inspection technique options limitations and privacy guidance to base catalog
msk_joint_pain,GAP-msk-focused-site-inspection,Focused painful-site inspection,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,SM25;MCGEE_EBPD;AHRQ_CALIBRATE_DX,Stanford Medicine 25 technique plus McGee and AHRQ diagnostic safety,Focused inspection is a core MSK exam domain but current base catalog coverage is not yet evidence-overlay complete for every joint complaint,Joint pain swelling inflammatory arthritis injury or infection context,Promote joint-specific inspection rows and evidence metadata into base catalog
msk_joint_pain,GAP-msk-focused-site-palpation,Focused painful-site palpation,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,SM25;MCGEE_EBPD;AHRQ_CALIBRATE_DX,Stanford Medicine 25 technique plus McGee and AHRQ diagnostic safety,Focused palpation helps localize tenderness warmth effusion and inflammatory or infectious features but needs fuller catalog evidence mapping,Joint pain swelling inflammatory arthritis injury or infection context,Promote joint-specific palpation rows and evidence metadata into base catalog
msk_joint_pain,GAP-msk-focused-site-rom,Focused painful-site range of motion,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,SM25;MCGEE_EBPD;AHRQ_CALIBRATE_DX,Stanford Medicine 25 technique plus McGee and AHRQ diagnostic safety,Range of motion is core to focused MSK evaluation but current catalog matching is not yet sufficiently condition-specific,Joint pain swelling stiffness injury or functional limitation context,Promote joint-specific active and passive ROM rows with limitations into base catalog
msk_muscle_cramps,GAP-cramps-focused-muscle-tenderness,Focused muscle tenderness,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,MCGEE_EBPD;AHRQ_CALIBRATE_DX,McGee evidence synthesis and AHRQ diagnostic safety workflow,Focused muscle tenderness is needed for cramps myalgia and rhabdomyolysis or inflammatory mimic screening but is not yet an evidence-backed base maneuver,Muscle cramps myalgia electrolyte dehydration thyroid or weakness context,Add muscle tenderness inspection palpation and strength adjuncts to base catalog
gu_incontinence,GAP-cord-saddle-sensation,Saddle sensation screen,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,AHRQ diagnostic safety workflow and McGee evidence synthesis,Saddle sensation is a safety-critical neurologic screen when incontinence coexists with back pain weakness or cord compression concern,Urinary incontinence with back pain weakness saddle symptoms or neurologic concern,Add consented perineal sensation and rectal tone decision pathway to base catalog
gu_penile_discharge,GAP-gu-genital-exam,Genital exam,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,AHRQ diagnostic safety workflow and McGee evidence synthesis,Genital inspection is central for penile discharge STI lesions swelling or urethral findings but is not yet represented in the base catalog,Penile discharge dysuria STI genital lesion or swelling context,Add privacy-aware genital exam technique options limitations and consent language to base catalog
gu_penile_discharge,GAP-gu-inguinal-nodes,Inguinal nodes,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,AHRQ diagnostic safety workflow and McGee evidence synthesis,Inguinal nodes can change STI ulcer malignancy or infection framing in genital presentations but need formal evidence overlay,Penile discharge genital lesion STI or groin swelling context,Promote inguinal node exam row with source metadata into base catalog
