source_id,source_name,source_type,url_or_doi,date_accessed,license_access_notes,preferred_citation
SM25,Stanford Medicine 25 Exam Guides,technique,https://med.stanford.edu/stanfordmedicine25/exam-guides-.html,2026-06-06,"Free web educational material; cite and paraphrase technique, do not reproduce long passages.",Stanford Medicine 25. Exam Guides. Stanford Medicine.
JAMA_RCE,The Rational Clinical Examination: Evidence-Based Clinical Diagnosis,diagnostic_performance,https://jamaevidence.mhmedical.com/book.aspx?bookid=845,2026-06-06,McGraw Hill/JAMAevidence access may require subscription; use concise citations and available LR values only.,"Simel DL, Rennie D, eds. The Rational Clinical Examination: Evidence-Based Clinical Diagnosis. JAMAevidence."
MCGEE_EBPD,Evidence-Based Physical Diagnosis,evidence_synthesis,https://www.sciencedirect.com/book/9780323392761/evidence-based-physical-diagnosis,2026-06-06,Commercial textbook; cite source and paraphrase.,McGee S. Evidence-Based Physical Diagnosis.
ACP_GUIDELINES,American College of Physicians Clinical Guidelines and Recommendations,management_guideline,https://www.acponline.org/clinical-information,2026-06-06,ACP guideline portal; use condition-specific guideline citations when applied.,"American College of Physicians. Clinical Guidelines, Recommendations and Updates."
AHRQ_CALIBRATE_DX,Calibrate Dx: A Resource To Improve Diagnostic Decisions,diagnostic_safety,https://www.ahrq.gov/diagnostic-safety/tools/calibrate-dx.html,2026-06-06,AHRQ public resource; cite implementation discipline and diagnostic calibration workflow.,Agency for Healthcare Research and Quality. Calibrate Dx: A Resource To Improve Diagnostic Decisions.
ES_INPATIENT_HYPERGLYCEMIA,Management of Hyperglycemia in Hospitalized Adult Patients in Non-Critical Care Settings,management_guideline,https://www.endocrine.org/clinical-practice-guidelines/inpatient-hyperglycemia-guideline-resources,2026-06-06,Endocrine Society guideline resource; cite recommendations and paraphrase.,Endocrine Society. Inpatient Hyperglycemia Guideline Resources.
ES_ADRENAL_INSUFFICIENCY,Diagnosis and Treatment of Primary Adrenal Insufficiency,management_guideline,https://www.endocrine.org/clinical-practice-guidelines/primary-adrenal-insufficiency,2026-06-06,Endocrine Society guideline resource; cite recommendations and paraphrase.,Endocrine Society. Primary Adrenal Insufficiency Guideline Resources.
ES_HYPERCALCEMIA_MALIGNANCY,Treatment of Hypercalcemia of Malignancy in Adults,management_guideline,https://www.endocrine.org/the-latest/new-cpg,2026-06-06,Endocrine Society guideline resource; cite recommendations and paraphrase.,Endocrine Society. Hypercalcemia Guideline Resources.
ES_PITUITARY_INCIDENTALOMA,Pituitary Incidentaloma: An Endocrine Society Clinical Practice Guideline,management_guideline,https://support.endocrine.org/clinical-practice-guidelines/pituitary-incidentaloma,2026-06-06,Endocrine Society guideline resource; cite recommendations and paraphrase.,Endocrine Society. Pituitary Incidentaloma Clinical Practice Guideline.
ADA_HYPERGLYCEMIC_CRISES_2024,Hyperglycemic Crises in Adults With Diabetes: A Consensus Report,management_guideline,https://diabetesjournals.org/care/article/47/8/1257/156808/Hyperglycemic-Crises-in-Adults-With-Diabetes-A,2026-06-06,Free consensus report page; cite and paraphrase.,"ADA, EASD, JBDS, AACE, DTS. Hyperglycemic Crises in Adults With Diabetes: A Consensus Report. Diabetes Care. 2024."
ADA_STANDARDS_HOSPITAL_2026,Diabetes Care in the Hospital: Standards of Care in Diabetes-2026,management_guideline,https://doi.org/10.2337/dc26-S016,2026-06-06,ADA Standards of Care section; cite current annual recommendations and paraphrase.,American Diabetes Association Professional Practice Committee. Standards of Care in Diabetes-2026. Section 16.
ESE_HYPONATREMIA_2014,Clinical Practice Guideline on Diagnosis and Treatment of Hyponatraemia,management_guideline,https://www.ese-hormones.org/publications/directory/ese-clinical-guideline-for-the-management-of-hyponatraemia/,2026-06-06,European Society of Endocrinology guideline resource; cite and paraphrase.,European Society of Endocrinology et al. Clinical guideline for the management of hyponatraemia. 2014.
JTA_JES_THYROID_STORM_2016,Guidelines for the Management of Thyroid Storm,management_guideline,https://www.jstage.jst.go.jp/article/endocrj/advpub/0/advpub_EJ16-0336/_article/-char/en,2026-06-06,Free article page; cite and paraphrase.,Japan Thyroid Association and Japan Endocrine Society Taskforce Committee. Guidelines for the management of thyroid storm. Endocr J. 2016.
