exam_system,section,region_or_subsection,maneuver_or_finding,source_item,patient_instruction_or_setup,examiner_technique,how_to_perform,observe_or_positive_finding,function_or_clinical_use,suggested_checklist_label,suggested_options,include_when,exam_id
Neuro,Cranial Nerves,CN II,Visual acuity,Neuro 1,Cover one eye and read the smallest line possible; use reading glasses if applicable; repeat other eye,Use pocket visual screening chart at listed distance,Set up or position the patient: Cover one eye and read the smallest line possible; use reading glasses if applicable; repeat other eye. Perform the maneuver: Use pocket visual screening chart at listed distance. Assess and document: Smallest line read in each eye.,Smallest line read in each eye,Screens optic nerve visual input,Visual acuity,Baseline / Reduced right / Reduced left / Reduced both / Unable,Vision complaint; pituitary or optic pathway disease; stroke; neuro exam,neuro_cranial_nerves_cn_ii_visual_acuity
Neuro,Cranial Nerves,CN II,Visual fields,Neuro 2,Cover one eye; look at examiner's nose; report number of fingers,"Examiner covers opposite eye; hands 1-2 feet from patient, equidistant; test 4 quadrants each eye with 1, 2, or 5 fingers","Set up or position the patient: Cover one eye; look at examiner's nose; report number of fingers. Perform the maneuver: Examiner covers opposite eye; hands 1-2 feet from patient, equidistant; test 4 quadrants each eye with 1, 2, or 5 fingers. Assess and document: Field cut or quadrant deficit.",Field cut or quadrant deficit,Screens peripheral and central visual input,Visual fields,Full / Deficit right / Deficit left / Deficit bilateral / Unable,Vision change; pituitary/suprasellar lesion; stroke; neuro exam,neuro_cranial_nerves_cn_ii_visual_fields
Neuro,Cranial Nerves,CN III IV VI,Extraocular movements,Neuro 3,Follow examiner finger with eyes while keeping head still,Move finger in large H at eye level,"Set up or position the patient: Follow examiner finger with eyes while keeping head still. Perform the maneuver: Move finger in large H at eye level. Assess and document: Limited movement, diplopia, nystagmus.","Limited movement, diplopia, nystagmus","Screens ocular motor cranial nerves III, IV, VI",Extraocular movements,Intact / Limited / Diplopia / Nystagmus / Unable,Diplopia; eye complaint; brainstem/cavernous sinus concern; neuro exam,neuro_cranial_nerves_cn_iii_iv_vi_extraocular_movements
Neuro,Cranial Nerves,CN III,Convergence,Neuro 4,Follow examiner finger as it moves toward face,Move finger slowly toward face to about 10 cm; do not touch nose,Set up or position the patient: Follow examiner finger as it moves toward face. Perform the maneuver: Move finger slowly toward face to about 10 cm; do not touch nose. Assess and document: Impaired convergence.,Impaired convergence,Screens medial rectus convergence via CN III,Convergence,Intact / Impaired / Unable,Diplopia; neuro exam; eye complaint,neuro_cranial_nerves_cn_iii_convergence
Neuro,Cranial Nerves,CN II III,Pupillary light,Neuro 5,Look at a distant point,Dim lights; shine light into each eye twice; observe direct and consensual response; do not do same eye twice,"Set up or position the patient: Look at a distant point. Perform the maneuver: Dim lights; shine light into each eye twice; observe direct and consensual response; do not do same eye twice. Assess and document: Unequal, sluggish, nonreactive, afferent defect.","Unequal, sluggish, nonreactive, afferent defect",CN II afferent light sensing and CN III efferent constriction,Pupils,Equal and reactive / Unequal / Sluggish / Nonreactive / Unable,Neuro exam; altered mental status; eye complaint; head trauma,neuro_cranial_nerves_cn_ii_iii_pupillary_light
Neuro,Cranial Nerves,CN V,Facial light touch,Neuro 6,Tell examiner whether sensation feels the same or similar at each level,"Use soft cotton-tipped applicator on forehead V1, cheek V2, jaw V3 bilaterally and symmetrically; aim above eyebrow, cheek, and submandibular region","Set up or position the patient: Tell examiner whether sensation feels the same or similar at each level. Perform the maneuver: Use soft cotton-tipped applicator on forehead V1, cheek V2, jaw V3 bilaterally and symmetrically; aim above eyebrow, cheek, and submandibular region. Assess and document: Reduced or asymmetric facial sensation.",Reduced or asymmetric facial sensation,"Screens trigeminal sensory branches V1, V2, V3",Facial light touch,Symmetric / Diminished right / Diminished left / Absent / Unable,Facial numbness; stroke; cranial nerve exam,neuro_cranial_nerves_cn_v_facial_light_touch
Neuro,Cranial Nerves,CN V,Facial sharp touch,Neuro 7,Tell examiner whether sensation feels sharp and same or similar,"Break cotton-tipped applicator to sharp point; test forehead V1, cheek V2, jaw V3 bilaterally and symmetrically","Set up or position the patient: Tell examiner whether sensation feels sharp and same or similar. Perform the maneuver: Break cotton-tipped applicator to sharp point; test forehead V1, cheek V2, jaw V3 bilaterally and symmetrically. Assess and document: Reduced or asymmetric pain sensation.",Reduced or asymmetric pain sensation,Screens trigeminal nociceptive sensation,Facial sharp sensation,Symmetric / Diminished right / Diminished left / Absent / Unable,Facial numbness; trigeminal concern; neuro exam,neuro_cranial_nerves_cn_v_facial_sharp_touch
Neuro,Cranial Nerves,CN V,Masseter strength,Neuro 8,"Clench jaw, then relax",Place fingers on masseter muscles,"Set up or position the patient: Clench jaw, then relax. Perform the maneuver: Place fingers on masseter muscles. Assess and document: Weak or asymmetric contraction.",Weak or asymmetric contraction,Screens muscles of mastication via CN V,Masseter strength,Symmetric / Weak right / Weak left / Unable,Cranial nerve exam; jaw weakness,neuro_cranial_nerves_cn_v_masseter_strength
Neuro,Cranial Nerves,CN VII,Eye closure strength,Neuro 9,Close eyes tightly; resist examiner opening them; then open eyes widely,Try to open closed eyelids; observe wide eye opening,Set up or position the patient: Close eyes tightly; resist examiner opening them; then open eyes widely. Perform the maneuver: Try to open closed eyelids; observe wide eye opening. Assess and document: Weak eye closure or facial weakness.,Weak eye closure or facial weakness,Screens orbicularis oculi and facial nerve,Eye closure strength,Symmetric / Weak right / Weak left / Unable,Facial weakness; stroke; cranial nerve exam,neuro_cranial_nerves_cn_vii_eye_closure_strength
Neuro,Cranial Nerves,CN VII,Show teeth,Neuro 10,Show teeth,Observe facial symmetry,Set up or position the patient: Show teeth. Perform the maneuver: Observe facial symmetry. Assess and document: Facial droop or asymmetric smile.,Facial droop or asymmetric smile,Screens facial expression via CN VII,Facial symmetry,Symmetric / Droop right / Droop left / Unable,Facial weakness; stroke; cranial nerve exam,neuro_cranial_nerves_cn_vii_show_teeth
Neuro,Cranial Nerves,CN VIII,Auditory acuity,Neuro 11,Close eyes; say which ear hears the sound; say if sound is same or similar,Rub fingers about 10 cm from each ear one at a time,Set up or position the patient: Close eyes; say which ear hears the sound; say if sound is same or similar. Perform the maneuver: Rub fingers about 10 cm from each ear one at a time. Assess and document: Reduced hearing or asymmetry.,Reduced hearing or asymmetry,Screens cochlear branch of CN VIII,Auditory acuity,Symmetric / Reduced right / Reduced left / Unable,Hearing complaint; cranial nerve exam,neuro_cranial_nerves_cn_viii_auditory_acuity
