priority_rank,exam_id,base_row_number,exam_system,section,maneuver_or_finding,suggested_checklist_label,priority_reason,planned_sources,enrichment_status
1,EXAM-001-visual-acuity,1,Neuro,Cranial Nerves,Visual acuity,Visual acuity,High relevance for endocrine consults.,ES_PITUITARY_INCIDENTALOMA; SM25; AHRQ_CALIBRATE_DX,seeded
2,EXAM-002-visual-fields,2,Neuro,Cranial Nerves,Visual fields,Visual fields,High relevance for endocrine consults.,ES_PITUITARY_INCIDENTALOMA; SM25; AHRQ_CALIBRATE_DX,seeded
3,EXAM-003-extraocular-movements,3,Neuro,Cranial Nerves,Extraocular movements,Extraocular movements,High relevance for endocrine consults.,ES_PITUITARY_INCIDENTALOMA; SM25; AHRQ_CALIBRATE_DX,seeded
4,EXAM-004-convergence,4,Neuro,Cranial Nerves,Convergence,Convergence,High relevance for endocrine consults.,AHRQ_CALIBRATE_DX; SM25,seeded
5,EXAM-005-pupils,5,Neuro,Cranial Nerves,Pupillary light,Pupils,High relevance for endocrine consults.,ES_PITUITARY_INCIDENTALOMA; SM25; AHRQ_CALIBRATE_DX,seeded
6,EXAM-009-eye-closure-strength,9,Neuro,Cranial Nerves,Eye closure strength,Eye closure strength,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
7,EXAM-010-facial-symmetry,10,Neuro,Cranial Nerves,Show teeth,Facial symmetry,High relevance for endocrine consults.,AHRQ_CALIBRATE_DX; SM25,seeded
8,EXAM-014-palate-elevation,14,Neuro,Cranial Nerves,Palate elevation,Palate elevation,High-yield bedside maneuver for consult rounds.,AHRQ_CALIBRATE_DX; SM25,seeded
9,EXAM-017-tongue-protrusion,17,Neuro,Cranial Nerves,Tongue protrusion,Tongue protrusion,High-yield bedside maneuver for consult rounds.,AHRQ_CALIBRATE_DX; SM25,seeded
10,EXAM-018-pronator-drift,18,Neuro,Motor,Pronator drift,Pronator drift,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
11,EXAM-019-deltoid-strength,19,Neuro,Motor,Deltoid strength,Deltoid strength,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
12,EXAM-020-biceps-strength,20,Neuro,Motor,Biceps strength,Biceps strength,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
13,EXAM-021-triceps-strength,21,Neuro,Motor,Triceps strength,Triceps strength,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
14,EXAM-022-wrist-extension-strength,22,Neuro,Motor,Wrist extensor strength,Wrist extension strength,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
