exam_system,section,region_or_subsection,maneuver_or_finding,source_item,patient_instruction_or_setup,examiner_technique,observe_or_positive_finding,function_or_clinical_use,suggested_checklist_label,suggested_options,include_when,exam_id
Neuro,Cranial Nerves,CN II,Visual acuity,Neuro 1,Cover one eye and read the smallest line possible; use reading glasses if applicable; repeat other eye,Use pocket visual screening chart at listed distance,Smallest line read in each eye,Screens optic nerve visual input,Visual acuity,Baseline / Reduced right / Reduced left / Reduced both / Unable,Vision complaint; pituitary or optic pathway disease; stroke; neuro exam,neuro_cranial_nerves_cn_ii_visual_acuity
Neuro,Cranial Nerves,CN II,Visual fields,Neuro 2,Cover one eye; look at examiner's nose; report number of fingers,"Examiner covers opposite eye; hands 1-2 feet from patient, equidistant; test 4 quadrants each eye with 1, 2, or 5 fingers",Field cut or quadrant deficit,Screens peripheral and central visual input,Visual fields,Full / Deficit right / Deficit left / Deficit bilateral / Unable,Vision change; pituitary/suprasellar lesion; stroke; neuro exam,neuro_cranial_nerves_cn_ii_visual_fields
Neuro,Cranial Nerves,CN III IV VI,Extraocular movements,Neuro 3,Follow examiner finger with eyes while keeping head still,Move finger in large H at eye level,"Limited movement, diplopia, nystagmus","Screens ocular motor cranial nerves III, IV, VI",Extraocular movements,Intact / Limited / Diplopia / Nystagmus / Unable,Diplopia; eye complaint; brainstem/cavernous sinus concern; neuro exam,neuro_cranial_nerves_cn_iii_iv_vi_extraocular_movements
Neuro,Cranial Nerves,CN III,Convergence,Neuro 4,Follow examiner finger as it moves toward face,Move finger slowly toward face to about 10 cm; do not touch nose,Impaired convergence,Screens medial rectus convergence via CN III,Convergence,Intact / Impaired / Unable,Diplopia; neuro exam; eye complaint,neuro_cranial_nerves_cn_iii_convergence
Neuro,Cranial Nerves,CN II III,Pupillary light,Neuro 5,Look at a distant point,Dim lights; shine light into each eye twice; observe direct and consensual response; do not do same eye twice,"Unequal, sluggish, nonreactive, afferent defect",CN II afferent light sensing and CN III efferent constriction,Pupils,Equal and reactive / Unequal / Sluggish / Nonreactive / Unable,Neuro exam; altered mental status; eye complaint; head trauma,neuro_cranial_nerves_cn_ii_iii_pupillary_light
Neuro,Cranial Nerves,CN V,Facial light touch,Neuro 6,Tell examiner whether sensation feels the same or similar at each level,"Use soft cotton-tipped applicator on forehead V1, cheek V2, jaw V3 bilaterally and symmetrically; aim above eyebrow, cheek, and submandibular region",Reduced or asymmetric facial sensation,"Screens trigeminal sensory branches V1, V2, V3",Facial light touch,Symmetric / Diminished right / Diminished left / Absent / Unable,Facial numbness; stroke; cranial nerve exam,neuro_cranial_nerves_cn_v_facial_light_touch
Neuro,Cranial Nerves,CN V,Facial sharp touch,Neuro 7,Tell examiner whether sensation feels sharp and same or similar,"Break cotton-tipped applicator to sharp point; test forehead V1, cheek V2, jaw V3 bilaterally and symmetrically",Reduced or asymmetric pain sensation,Screens trigeminal nociceptive sensation,Facial sharp sensation,Symmetric / Diminished right / Diminished left / Absent / Unable,Facial numbness; trigeminal concern; neuro exam,neuro_cranial_nerves_cn_v_facial_sharp_touch
Neuro,Cranial Nerves,CN V,Masseter strength,Neuro 8,"Clench jaw, then relax",Place fingers on masseter muscles,Weak or asymmetric contraction,Screens muscles of mastication via CN V,Masseter strength,Symmetric / Weak right / Weak left / Unable,Cranial nerve exam; jaw weakness,neuro_cranial_nerves_cn_v_masseter_strength
Neuro,Cranial Nerves,CN VII,Eye closure strength,Neuro 9,Close eyes tightly; resist examiner opening them; then open eyes widely,Try to open closed eyelids; observe wide eye opening,Weak eye closure or facial weakness,Screens orbicularis oculi and facial nerve,Eye closure strength,Symmetric / Weak right / Weak left / Unable,Facial weakness; stroke; cranial nerve exam,neuro_cranial_nerves_cn_vii_eye_closure_strength
Neuro,Cranial Nerves,CN VII,Show teeth,Neuro 10,Show teeth,Observe facial symmetry,Facial droop or asymmetric smile,Screens facial expression via CN VII,Facial symmetry,Symmetric / Droop right / Droop left / Unable,Facial weakness; stroke; cranial nerve exam,neuro_cranial_nerves_cn_vii_show_teeth
Neuro,Cranial Nerves,CN VIII,Auditory acuity,Neuro 11,Close eyes; say which ear hears the sound; say if sound is same or similar,Rub fingers about 10 cm from each ear one at a time,Reduced hearing or asymmetry,Screens cochlear branch of CN VIII,Auditory acuity,Symmetric / Reduced right / Reduced left / Unable,Hearing complaint; cranial nerve exam,neuro_cranial_nerves_cn_viii_auditory_acuity
Neuro,Cranial Nerves,CN VIII,Weber test,Neuro 12,Say whether sound is equal in both ears or louder on one side,Use 512 Hz tuning fork; strike fork; place on midline top of head,Lateralizes right or left,Distinguishes conductive vs sensorineural hearing loss with Rinne,Weber test,Midline / Lateralizes right / Lateralizes left / Unable,Hearing loss evaluation,neuro_cranial_nerves_cn_viii_weber_test
Neuro,Cranial Nerves,CN VIII,Rinne test,Neuro 13,"Say when sound behind ear stops, then whether sound is heard in front of ear",Use 512 Hz tuning fork; place on mastoid; when stopped move to front of ear canal; repeat other ear,Air conduction greater than bone conduction or bone conduction greater/equal,Compares air vs bone conduction,Rinne test,AC > BC bilaterally / BC >= AC right / BC >= AC left / Unable,Hearing loss evaluation,neuro_cranial_nerves_cn_viii_rinne_test
Neuro,Cranial Nerves,CN IX X,Palate elevation,Neuro 14,Open mouth and say ahh,Use light source; observe palate and uvula,Asymmetric elevation or absent movement,CN IX sensory/gag afferent and CN X palate/pharynx motor,Palate elevation,Symmetric / Asymmetric / Absent / Unable,Dysphagia; dysarthria; bulbar concern; cranial nerve exam,neuro_cranial_nerves_cn_ix_x_palate_elevation
Neuro,Cranial Nerves,CN XI,Sternocleidomastoid strength,Neuro 15,Rotate head against resistance,Place one hand on shoulder and other on opposite cheek; push head toward midline; repeat other side,Weakness or asymmetry,Screens CN XI sternocleidomastoid,SCM strength,Symmetric / Weak right / Weak left / Unable,Cranial nerve exam; neck weakness,neuro_cranial_nerves_cn_xi_sternocleidomastoid_strength
Neuro,Cranial Nerves,CN XI,Trapezius strength,Neuro 16,Shrug shoulders and keep them up,Push shoulders down,Weakness or asymmetry,Screens CN XI trapezius,Trapezius strength,Symmetric / Weak right / Weak left / Unable,Cranial nerve exam; shoulder/neck weakness,neuro_cranial_nerves_cn_xi_trapezius_strength
Neuro,Cranial Nerves,CN XII,Tongue protrusion,Neuro 17,"Open mouth, stick tongue out, and move side to side",Observe tongue protrusion and lateral movement,Deviation or weakness,Screens hypoglossal nerve motor function,Tongue protrusion,Midline / Deviates right / Deviates left / Unable,Bulbar symptoms; dysarthria; cranial nerve exam,neuro_cranial_nerves_cn_xii_tongue_protrusion
Neuro,Motor,Upper extremity,Pronator drift,Neuro 18,"Hold arms straight out, palms up, close eyes",Observe at least 5 seconds,Pronation or downward drift,Screens subtle upper motor neuron weakness,Pronator drift,Absent / Present right / Present left / Unable,Weakness; stroke; myelopathy; neuro exam,neuro_motor_upper_extremity_pronator_drift
Neuro,Motor,Upper extremity,Deltoid strength,Neuro 19,Arms out to side with elbows bent like chicken wings; resist downward push,Hands proximal to elbows; push down; test bilaterally together or one at a time,Weakness grade or asymmetry,Screens shoulder abduction strength,Deltoid strength,0 / 1 / 2 / 3 / 4 / 5,Upper extremity weakness; neuro/MSK exam,neuro_motor_upper_extremity_deltoid_strength
Neuro,Motor,Upper extremity,Biceps strength,Neuro 20,Arms in boxing position; resist forearm being pulled anteriorly,Stabilize proximal to elbow; pull forearm; one arm at a time,Weakness grade or asymmetry,Screens elbow flexion,Biceps strength,0 / 1 / 2 / 3 / 4 / 5,Upper extremity weakness; neuro/MSK exam,neuro_motor_upper_extremity_biceps_strength
Neuro,Motor,Upper extremity,Triceps strength,Neuro 21,Arms in boxing position; resist forearm being pushed posteriorly,Stabilize proximal to elbow; push forearm; one arm at a time,Weakness grade or asymmetry,Screens elbow extension,Triceps strength,0 / 1 / 2 / 3 / 4 / 5,Upper extremity weakness; neuro/MSK exam,neuro_motor_upper_extremity_triceps_strength
